name,first_surname,second_surname,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
victor,abelardo,correal,04C.Kronos Natación Mijas,2:12.32,masc,200,estilos,absoluto,2023-04-15,16:49:00,True
manuel,escobar,duran,03C.N. Bahia De Cadiz,2:13.80,masc,200,estilos,absoluto,2023-04-15,16:49:00,True
daniel,gonzalez,vega,06C.D.N. Sanlucar,2:16.29,masc,200,estilos,absoluto,2023-04-15,16:49:00,True
angel,belinchon,matos,06C.N. Los Barrios,2:17.30,masc,200,estilos,absoluto,2023-04-15,16:49:00,True
javier,ruiz,navarro,03C.D.N. Ciudad De Algeciras,2:22.37,masc,200,estilos,absoluto,2023-04-15,16:49:00,True
adrian,pelaez,manzano,06C.N. San Fernando,2:24.87,masc,200,estilos,absoluto,2023-04-15,16:49:00,True
daniel,ramos,nechita,06C.N. Los Barrios,2:26.82,masc,200,estilos,absoluto,2023-04-15,16:49:00,True
pablo,rodriguez,romero,04C.N. Cadiz,2:29.20,masc,200,estilos,absoluto,2023-04-15,16:49:00,True
jose,herrera,ramirez,06Club Deportivo Waterpolo Jerez,2:36.92,masc,200,estilos,absoluto,2023-04-15,16:49:00,True
pablo,romero,escolano,99C.N. Puerto Real,2:45.21,masc,200,estilos,absoluto,2023-04-15,16:49:00,True
