name,first_surname,second_surname,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
jose,ferreros,sanchez,C.D.N.Ciudad De Algeciras,2:27.19,masc,200,braza,absoluto,2023-04-15,10:55:00,True
ismael,luque,merino,C.KronosNatación Mijas,2:29.25,masc,200,braza,absoluto,2023-04-15,10:55:00,True
richard,baez,perez,C.N.Bahia De Cadiz,2:32.50,masc,200,braza,absoluto,2023-04-15,10:55:00,True
pablo,gonzález,martín,C.N.Caballa - Ciudad De Ceuta,2:39.32,masc,200,braza,absoluto,2023-04-15,10:55:00,True
matis,gonzalez,grigoriu,C.N.Estepona,2:41.04,masc,200,braza,absoluto,2023-04-15,10:55:00,True
miguel,gil,de,C.N.Los Barrios,2:45.70,masc,200,braza,absoluto,2023-04-15,10:55:00,True
salvador,casal,velarde,C.N.Cadiz,2:47.44,masc,200,braza,absoluto,2023-04-15,10:55:00,True
felix,raposo,listan,C.D.N.Sanlucar,2:49.71,masc,200,braza,absoluto,2023-04-15,10:55:00,True
pablo,romero,escolano,C.N.Puerto Real,2:51.43,masc,200,braza,absoluto,2023-04-15,10:55:00,True
jose,roman,muñoz,C.N.LaSalle-Melilla,3:16.07,masc,200,braza,absoluto,2023-04-15,10:55:00,True
