name,first_surname,second_surname,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
javier,ruiz,navarro,C.D.N.Ciudad De Algeciras,2:13.03,masc,200,espalda,absoluto,2023-04-15,11:49:00,True
daniel,ramos,nechita,C.N.Los Barrios,2:14.11,masc,200,espalda,absoluto,2023-04-15,11:49:00,True
miguel,andrades,noval,C.N.Bahia De Cadiz,2:17.08,masc,200,espalda,absoluto,2023-04-15,11:49:00,True
manuel,marina,varela,C.N.Cadiz,2:24.11,masc,200,espalda,absoluto,2023-04-15,11:49:00,True
alejandro,lópez,galán,C.N.Caballa - Ciudad De Ceuta,2:28.14,masc,200,espalda,absoluto,2023-04-15,11:49:00,True
antonio,heredia,robles,C.N.Puerto Real,2:29.05,masc,200,espalda,absoluto,2023-04-15,11:49:00,True
nicolas,dormido,caballero,ClubDeportivo Waterpolo Jerez,2:30.96,masc,200,espalda,absoluto,2023-04-15,11:49:00,True
victor,pelaez,manzano,C.N.San Fernando,2:34.24,masc,200,espalda,absoluto,2023-04-15,11:49:00,True
alejandro,jarillo,pineda,C.N.San Roque,2:36.05,masc,200,espalda,absoluto,2023-04-15,11:49:00,True
gabriel,ledesma,,C.N.Estepona,2:38.74,masc,200,espalda,absoluto,2023-04-15,11:49:00,True
