name,first_surname,second_surname,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
jaime,alonso,flor,C.N.Portuense,2:27.17,masc,200,braza,absoluto,2023-05-27,13:23:00,True
pablo,gonzález,martín,C.N.Caballa - Ciudad De Ceuta,2:35.02,masc,200,braza,absoluto,2023-05-27,13:23:00,True
pablo,baston,gallardo,C.N.Cadiz,2:44.02,masc,200,braza,absoluto,2023-05-27,13:23:00,True
juan,garcia,ferreira,C.N.Dos Hermanas,2:44.95,masc,200,braza,absoluto,2023-05-27,13:23:00,True
jose,caro,salva,C.N.Portuense,2:46.59,masc,200,braza,absoluto,2023-05-27,13:23:00,True
ivan,pelaez,manzano,C.N.San Fernando,2:51.15,masc,200,braza,absoluto,2023-05-27,13:23:00,True
victor,rangel,sanchez,C.D.N.Sanlucar,2:56.94,masc,200,braza,absoluto,2023-05-27,13:23:00,True
alejandro,romero,rios,C.N.Puerto Real,2:58.39,masc,200,braza,absoluto,2023-05-27,13:23:00,True
adai,pastoril,ibañez,C.N.Bahia De Cadiz,2:59.78,masc,200,braza,absoluto,2023-05-27,13:23:00,True
daniel,cepero,paez,C.N.Puerto Real,3:01.10,masc,200,braza,absoluto,2023-05-27,13:23:00,True
antonio,rodriguez,piñero,C.N.San Fernando,3:22.29,masc,200,braza,absoluto,2023-05-27,13:23:00,True
claudio,fernandez,jarillo,C.N.Ubrique,3:26.25,masc,200,braza,absoluto,2023-05-27,13:23:00,True
iván,vazquez,doblas,C.N.Dos Hermanas,3:26.79,masc,200,braza,absoluto,2023-05-27,13:23:00,True
jose,chacon,rodriguez,C.N.Ubrique,3:30.74,masc,200,braza,absoluto,2023-05-27,13:23:00,True
mateo,almohano,sanchez,C.N.Alcala,3:41.88,masc,200,braza,absoluto,2023-05-27,13:23:00,True
alexis,muñoz,mena,C.N.Los Barrios,3:49.55,masc,200,braza,absoluto,2023-05-27,13:23:00,True
hugo,fernandez,escarcena,C.D.N.Ciudad De Algeciras,3:50.38,masc,200,braza,absoluto,2023-05-27,13:23:00,True
javier,rodriguez,garcía,C.D.N.Ciudad De Algeciras,4:09.97,masc,200,braza,absoluto,2023-05-27,13:23:00,True
