name,first_surname,second_surname,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
angel,belinchon,matos,C.N.Los Barrios,2:13.20,masc,200,mariposa,absoluto,2023-04-15,16:00:00,True
joaquin,pavon,soto,C.N.Bahia De Cadiz,2:15.90,masc,200,mariposa,absoluto,2023-04-15,16:00:00,True
sergio,delgado,rios,C.D.N.Ciudad De Algeciras,2:20.51,masc,200,mariposa,absoluto,2023-04-15,16:00:00,True
hugo,serrato,mena,C.KronosNatación Mijas,2:27.51,masc,200,mariposa,absoluto,2023-04-15,16:00:00,True
angel,casado,jurado,C.D.N.Sanlucar,2:28.26,masc,200,mariposa,absoluto,2023-04-15,16:00:00,True
pablo,ruiz,estero,ClubDeportivo Waterpolo Jerez,2:32.05,masc,200,mariposa,absoluto,2023-04-15,16:00:00,True
guillermo,espinosa,carrasco,C.N.San Fernando,2:32.93,masc,200,mariposa,absoluto,2023-04-15,16:00:00,True
angel,lomas,vela,C.N.Cadiz,2:58.76,masc,200,mariposa,absoluto,2023-04-15,16:00:00,True
alejandro,ortigosa,varo,C.N.Los Barrios,3:09.35,masc,200,mariposa,absoluto,2023-04-15,16:00:00,True
